ID|SourceID|OrderID|OperationNumber|Sequence|Status|SAPStatus|DurationUom|Duration|WorkCenter|Description|SetupTime|SetupTimeUom|MachineTime|MachineTimeUom|LabourTime|LabourTimeUom|ProductionRate|ProductionRateUom|ScheduledStartDate|ScheduledEndDate|Priority|TimestampCreation|TimestampUpdate
1|10|286|0010|0|INITIAL|I0002||0|G03|Pressofusione|9|H|18,329999999999998|MIN|14,66|MIN|18,329999999999998|MIN|2018-03-02 06:00:00|2018-03-02 16:34:39||2018-03-02 10:05:20.293000000|2018-03-02 10:05:20.293000000
2|11|286|0020|0|INITIAL|I0002||0|G10|Burattatura|0|H|8,3699999999999992|MIN|12,56|MIN|8,3699999999999992|MIN|2018-03-02 16:34:39|2018-03-02 17:01:26||2018-03-02 10:05:20.293000000|2018-03-02 10:05:20.293000000
3|12|286|0030|0|INITIAL|I0002||0|M55|Sbavatura manuale|0|H|8,1999999999999993|MIN|8,1999999999999993|MIN|8,1999999999999993|MIN|2018-03-02 17:01:26|2018-03-02 17:27:40||2018-03-02 10:05:20.293000000|2018-03-02 10:05:20.293000000
4|13|287|0010|0|INITIAL|I0002||0|G03|Pressofusione|9|H|18,329999999999998|MIN|14,66|MIN|18,329999999999998|MIN|2018-03-02 06:00:00|2018-03-02 17:13:46||2018-03-02 10:07:18.667000000|2018-03-02 10:07:18.667000000
5|14|287|0020|0|INITIAL|I0002||0|G10|Burattatura|0|H|8,3699999999999992|MIN|12,56|MIN|8,3699999999999992|MIN|2018-03-02 17:13:46|2018-03-02 17:58:24||2018-03-02 10:07:18.667000000|2018-03-02 10:07:18.667000000
6|15|287|0030|0|INITIAL|I0002||0|M55|Sbavatura manuale|0|H|8,1999999999999993|MIN|8,1999999999999993|MIN|8,1999999999999993|MIN|2018-03-02 17:58:24|2018-03-02 18:42:08||2018-03-02 10:07:18.667000000|2018-03-02 10:07:18.667000000
7|16|288|0010|0|INITIAL|I0002||0|G03|Pressofusione|9|H|18,329999999999998|MIN|14,66|MIN|18,329999999999998|MIN|2018-03-02 06:00:00|2018-03-02 17:13:46||2018-03-02 10:07:23.147000000|2018-03-02 10:07:23.147000000
8|17|288|0020|0|INITIAL|I0002||0|G10|Burattatura|0|H|8,3699999999999992|MIN|12,56|MIN|8,3699999999999992|MIN|2018-03-02 17:13:46|2018-03-02 17:58:24||2018-03-02 10:07:23.147000000|2018-03-02 10:07:23.147000000
9|18|288|0030|0|INITIAL|I0002||0|M55|Sbavatura manuale|0|H|8,1999999999999993|MIN|8,1999999999999993|MIN|8,1999999999999993|MIN|2018-03-02 17:58:24|2018-03-02 18:42:08||2018-03-02 10:07:23.147000000|2018-03-02 10:07:23.147000000
10|19|289|0010|0|INITIAL|I0002||0|G03|Pressofusione|9|H|18,329999999999998|MIN|14,66|MIN|18,329999999999998|MIN|2018-03-02 06:00:00|2018-03-02 16:54:12||2018-03-02 10:08:11.193000000|2018-03-02 10:08:11.193000000
11|20|289|0020|0|INITIAL|I0002||0|G10|Burattatura|0|H|8,3699999999999992|MIN|12,56|MIN|8,3699999999999992|MIN|2018-03-02 16:54:12|2018-03-02 17:29:55||2018-03-02 10:08:11.193000000|2018-03-02 10:08:11.193000000
12|21|289|0030|0|INITIAL|I0002||0|M55|Sbavatura manuale|0|H|8,1999999999999993|MIN|8,1999999999999993|MIN|8,1999999999999993|MIN|2018-03-02 17:29:55|2018-03-02 18:04:54||2018-03-02 10:08:11.193000000|2018-03-02 10:08:11.193000000
16|25|291|0010|0|INITIAL|I0002||0|G03|Pressofusione|9|H|18,329999999999998|MIN|14,66|MIN|18,329999999999998|MIN|2018-03-05 06:00:00|2018-03-07 00:11:12||2018-03-05 15:09:03.173000000|2018-03-05 15:09:03.173000000
17|26|291|0020|0|INITIAL|I0002||0|G10|Burattatura|0|H|8,3699999999999992|MIN|12,56|MIN|8,3699999999999992|MIN|2018-03-07 00:11:12|2018-03-07 15:04:00||2018-03-05 15:09:03.173000000|2018-03-05 15:09:03.173000000
18|27|291|0030|0|INITIAL|I0002||0|M55|Sbavatura manuale|0|H|8,1999999999999993|MIN|8,1999999999999993|MIN|8,1999999999999993|MIN|2018-03-07 15:04:00|2018-03-08 05:38:40||2018-03-05 15:09:03.173000000|2018-03-05 15:09:03.173000000
